labels
statement_id,property_alias,statement_date,period_start,period_end,rent,management_fee,repair,deposit,misc,note,total,pay_date
1490,97B Dempster,4/21/2022,5/1/2022,5/31/2022,991.67,360.0,0.0,350.0,0.0,,281.67,4/23/2022
1542,97B Dempster,6/7/2022,6/1/2022,6/30/2022,350.0,35.0,149.5,0.0,15.0,boiler and plubming; credit check,150.5,6/8/2022
1573,97B Dempster,7/5/2022,7/1/2022,7/15/2022,169.35,16.94,0.0,0.0,152.41,Council tax,0.0,7/5/2022
1623,97B Dempster,8/24/2022,,,0.0,0.0,0.0,0.0,-0.01,council tax refund,0.01,8/24/2022
1645,97B Dempster,9/8/2022,9/1/2022,9/30/2022,700.0,35.0,0.0,350.0,0.0,,315.0,9/8/2022
1670,97B Dempster,10/7/2022,10/1/2022,10/31/2022,350.0,35.0,0.0,0.0,60.0,credit check; Standing charge for empty period on energy meters,255.0,10/8/2022
1706,97B Dempster,11/1/2022,11/1/2022,11/30/2022,350.0,35.0,220.0,0.0,0.0,,95.0,11/1/2022
1748,97B Dempster,12/1/2022,12/1/2022,12/31/2022,350.0,35.0,0.0,0.0,0.0,,315.0,12/1/2022
1753,97B Dempster,1/4/2023,1/1/2023,1/31/2023,350.0,35.0,0.0,0.0,0.0,,315.0,1/5/2023
1785,97B Dempster,2/1/2023,2/1/2023,2/28/2023,350.0,35.0,0.0,0.0,0.0,,315.0,2/2/2023
1819,97B Dempster,3/1/2023,3/1/2023,3/31/2023,350.0,35.0,0.0,0.0,0.0,,315.0,3/2/2023
2839,97B Dempster,4/3/2023,4/1/2023,4/30/2023,350.0,35.0,0.0,0.0,0.0,,315.0,4/3/2023
2871,97B Dempster,5/2/2023,5/1/2023,5/31/2023,350.0,35.0,186.0,0.0,0.0,"Annual gas safety & legionella, Supplied & fitted carbon monoxide alarm",129.0,5/3/2023
3889,97B Dempster,6/1/2023,6/1/2023,6/30/2023,350.0,35.0,0.0,0.0,0.0,,315.0,6/1/2023
4925,97B Dempster,7/3/2023,7/1/2023,7/31/2023,350.0,35.0,0.0,0.0,0.0,,315.0,7/4/2023
4962,97B Dempster,8/1/2023,8/1/2023,8/31/2023,350.0,35.0,0.0,0.0,0.0,,315.0,8/1/2023
5003,97B Dempster,9/1/2023,9/1/2023,9/30/2023,350.0,35.0,0.0,0.0,0.0,,315.0,9/1/2023
5044,97B Dempster,10/3/2023,10/1/2023,10/31/2023,350.0,35.0,0.0,0.0,0.0,,315.0,10/3/2023
5078,97B Dempster,11/1/2023,11/1/2023,11/30/2023,350.0,35.0,0.0,0.0,0.0,,315.0,11/1/2023
7045,97B Dempster,12/1/2023,12/1/2023,12/31/2023,350.0,35.0,0.0,0.0,0.0,,315.0,12/1/2023
8091,97B Dempster,2/1/2024,1/1/2024,1/31/2024,350.0,35.0,0.0,0.0,0.0,,315.0,2/2/2024
8116,97B Dempster,3/1/2024,2/1/2024,2/29/2024,350.0,35.0,0.0,0.0,0.0,,315.0,3/1/2024
9128,97B Dempster,4/2/2024,3/1/2024,3/30/2024,303.33,30.33,0.0,0.0,0.0,,273.0,4/2/2024
9161,97B Dempster,4/26/2024,4/1/2024,4/30/2024,920.83,425.0,0.0,360.0,0.0,,135.83,4/27/2024
9186,97B Dempster,6/3/2024,5/26/2024,6/25/2024,425.0,42.5,189.0,0.0,0.0,"gas safety, credit check",193.5,6/3/2024
9216,97B Dempster,7/3/2024,6/26/2024,7/25/2024,425.0,42.5,0.0,0.0,0.0,,382.5,7/4/2024
9240,97B Dempster,8/1/2024,7/26/2024,8/25/2024,425.0,42.5,0.0,0.0,0.0,,382.5,8/2/2024
9270,97B Dempster,9/2/2024,8/26/2024,9/25/2024,425.0,42.5,84.0,0.0,0.0,call out no heating or hot water uneconomical repair,298.5,9/2/2024
9300,97B Dempster,10/2/2024,9/26/2024,10/25/2024,425.0,42.5,0.0,0.0,15.3,Rent guarantee,367.2,10/2/2024
9327,97B Dempster,11/1/2024,10/26/2024,11/25/2024,425.0,42.5,330.0,15.3,0.0,,37.2,11/2/2024
9361,97B Dempster,12/2/2024,11/26/2024,12/25/2024,425.0,42.5,203.47,0.0,0.0,,179.03,12/2/2024
9396,97B Dempster,1/4/2025,12/26/2024,1/25/2025,425.0,42.5,0.0,0.0,15.3,rent guarantee,367.2,1/4/2025
1780,Arranview,1/17/2023,12/15/2022,3/14/2023,1645.0,164.5,1150.0,0.0,0.0,repair,330.5,1/17/2023
1801,Arranview,2/21/2023,3/15/2023,4/14/2023,525.0,52.5,0.0,0.0,0.0,,472.5,2/21/2023
1850,Arranview,3/20/2023,4/15/2023,5/14/2023,509.9,50.99,0.0,0.0,0.0,,458.91,3/21/2023
2863,Arranview,4/20/2023,5/15/2023,6/14/2023,525.0,52.5,0.0,0.0,0.0,,472.5,4/20/2023
3892,Arranview,5/26/2023,6/15/2023,7/14/2023,525.0,52.5,0.0,0.0,45.0,missing payment,427.5,5/26/2023
3920,Arranview,6/20/2023,7/15/2023,8/14/2023,525.0,52.5,0.0,0.0,0.0,,472.5,6/20/2023
4941,Arranview,7/18/2023,8/15/2023,9/14/2023,525.0,52.5,0.0,0.0,0.0,,472.5,7/18/2023
5025,Arranview,9/19/2023,8/15/2023,10/14/2023,1050.0,105.0,0.0,0.0,0.0,,945.0,9/19/2023
5059,Arranview,10/24/2023,10/15/2023,11/14/2023,525.0,52.5,0.0,0.0,0.0,,472.5,10/24/2023
6043,Arranview,11/21/2023,11/15/2023,12/14/2023,525.0,52.5,0.0,0.0,0.0,,472.5,11/21/2023
7069,Arranview,12/20/2023,12/15/2023,1/14/2024,525.0,52.5,0.0,0.0,0.0,,472.5,12/20/2023
8072,Arranview,1/17/2024,1/15/2024,2/14/2024,525.0,52.5,0.0,0.0,0.0,,472.5,1/17/2024
8104,Arranview,2/19/2024,2/15/2024,3/14/2024,525.0,52.5,0.0,0.0,0.0,,472.5,2/19/2024
8134,Arranview,3/19/2024,3/15/2024,4/14/2024,525.0,52.5,0.0,0.0,0.0,,472.5,3/19/2024
9151,Arranview,4/23/2024,4/15/2024,5/14/2024,525.0,52.5,0.0,0.0,0.0,,472.5,4/23/2024
9178,Arranview,5/17/2024,5/15/2024,6/14/2024,525.0,52.5,0.0,0.0,0.0,,472.5,5/17/2024
9202,Arranview,6/18/2024,6/15/2024,7/14/2024,525.0,52.5,0.0,0.0,0.0,,472.5,6/18/2024
9222,Arranview,7/24/2024,7/15/2024,8/14/2024,525.0,52.5,0.0,0.0,0.0,,472.5,7/24/2024
9259,Arranview,8/19/2024,8/15/2024,9/14/2024,525.0,52.5,0.0,0.0,0.0,,472.5,8/16/2024
9287,Arranview,9/17/2024,10/14/2024,11/13/2024,525.0,52.5,0.0,0.0,0.0,,472.5,9/17/2024
9314,Arranview,10/22/2024,10/15/2024,11/14/2024,525.0,52.5,0.0,0.0,0.0,,472.5,10/22/2024
9334,Arranview,11/19/2024,11/15/2024,12/14/2024,525.0,52.5,255.0,0.0,0.0,Install new Oven ,217.5,11/19/2024
9348,Arranview,11/19/2024,11/15/2024,12/14/2024,525.0,52.5,255.0,0.0,0.0,Install new Oven,217.5,11/12/2024
9372,Arranview,12/17/2024,12/15/2024,1/14/2025,525.0,52.5,0.0,0.0,0.0,,472.5,12/17/2024
9411,Arranview,1/21/2025,1/15/2025,2/14/2025,525.0,52.5,0.0,0.0,0.0,,472.5,1/21/2025
10396,Arranview,2/18/2025,2/15/2025,3/14/2025,525.0,52.5,0.0,0.0,0.0,,472.5,2/11/2025
11411,Arranview,3/18/2025,3/15/2025,4/14/2025,525.0,52.5,0.0,0.0,0.0,,472.5,3/18/2025
12413,Arranview,4/22/2025,4/15/2025,5/14/2025,525.0,52.5,0.0,0.0,0.0,,472.5,4/15/2025
12435,Arranview,5/20/2025,5/15/2025,6/14/2025,525.0,52.5,198.0,0.0,0.0,certs,274.5,5/20/2025
12454,Arranview,6/19/2025,6/15/2025,7/14/2025,525.0,52.5,0.0,0.0,0.0,,472.5,6/19/2025
12478,Arranview,7/22/2025,7/12/2025,8/14/2025,525.0,52.5,0.0,0.0,0.0,,472.5,7/22/2025
6,Bedford,10/5/2020,9/3/2020,10/4/2020,400.0,40.0,0.0,0.0,0.0,,360.0,
7,Bedford,10/5/2020,10/20/2020,11/19/2020,400.0,40.0,0.0,0.0,215.0,EPC;EICR;PAT,145.0,
8,Bedford,12/2/2020,11/20/2020,12/19/2020,400.0,40.0,0.0,0.0,0.0,,360.0,
9,Bedford,1/5/2020,12/20/2020,1/19/2021,400.0,40.0,0.0,0.0,0.0,,360.0,
10,Bedford,2/1/2020,1/20/2021,2/19/2021,400.0,40.0,95.0,0.0,0.0, Gas Safety Certificate & CO Alarm,265.0,
11,Bedford,3/4/2021,2/20/2021,3/19/2021,400.0,40.0,0.0,0.0,0.0,,360.0,
12,Bedford,4/4/2021,3/20/2021,4/19/2021,400.0,40.0,0.0,0.0,0.0,,360.0,
13,Bedford,5/7/2021,4/20/2021,5/19/2021,400.0,40.0,0.0,0.0,0.0,,360.0,
145,Bedford,6/2/2021,5/20/2021,6/19/2021,400.0,40.0,0.0,0.0,0.0,,360.0,6/2/2021
179,Bedford,7/2/2021,6/20/2021,7/19/2021,400.0,40.0,75.0,0.0,0.0,Replace cold tap in Bathroom sink,285.0,7/2/2021
